from,to,relation
ls,sw,2
ls,jw,2
ls,pm,1
ls,jb,1
ls,bc,2
ls,m,3
ls,p,3
ls,b,3
sm,sw,1
sm,m,3
jb,sw,2
so,bl,3
so,b,3
so,m,3
so,p,3
jb,jw,2
jb,pm,1
sm ,mu,3
sm ,tw,3
sm,jb,1
ls,sm,1
sm,ls,1
sm,jw,2
jb,bc,1
sm,pm,1
sm,bc,2
sm,er,1
er,sm,1
sw,m,3
sw,p,3
jb,er,1
sw,b,3
sw,tw,3
sw,jw,2
er,sy,3
er,tw,3
jb,sm,2
jb,m,3
er,m,3
er,p,3
er,sw,2
jb,mu,3
sw,pm,1
jb,tw,3
bc,p,3
bc,mu,3
bc,sy,3
jb,p,3
er,pm,1
jb,sy,3
er,jb,1
sw,jb,2
er,bc,2
jb,ko,3
so,ko,3
jb,fi,3
sw,fi,3
pm,sw,1
pm,jb,2
jw,bc,2
sw,m,3
sw,ko,3
pm,bc,2
pm,ls,1
pm,er,1
pm,sm,1
sw,bc,1
sw,bc,2
pm,m,3
pm,p,3
sw,ls,2
pm,tw,3
pm,b,3
pm,ko,3
sw,er,2
sw,sm,1
sw,sm,2
jw,m,3
bc,fi,3
pr,b,3
pr,ko,3
