id,person,name,type,youtubechannel,youtubeabos,wealth,salary,city,age,sex,country
sw,SimonWiefels,ungespielt,0,ungespielt,3.000,5.5,140,Funchal,3,1,Madeira
jw,JoshuaWeissleder,Simon Desue,0,Simon_Desue,4.250,5,4,Dubai,3,1,Vereinigte Arabische Emirate
pm,PatrickMayer,Paluten,0,Paluten,4.370,1.9,70,München,4,1,Deutschland
jb,JulienBudorovits,Julien Bam,0,julien_bam,5.750,1.8,21.2,Aachen,4,1,Deutschland
pr,PamelaReif,Pamela Reif,0,PamelaReif,8.210,4.5,65,Karlsruhe,2,2,Deutschland
bc,BiancaClassen,Bibis Beauty Palace,0,BibisBeautyPalace,5.900,5,70,Koeln,3,2,Deutschland
so,SallyOezcan,Sallys Welt,0,Sallys Welt,1.970,6,22,Karlsruhe,4,2,Deutschland
ls,LucaScharpenberg,laserluca,0,laserluca,4.600,4,25,Köln,2,1,Deutschland
er,ErikRange,Gronkh,0,Gronkh,4.900,2,12,Köln,4,1,Deutschland
sm,SebastianMeyer,rewinside,0,Rewinside,3.300,2,8,Köln,3,1,Deutschland
me,Merchandise,Merchandise,1,99,99,99,99,99,99,99,99
po,Podcast,Podcast,1,99,99,99,99,99,99,99,99
mu,Musik,Musik,1,99,99,99,99,99,99,99,99
bu,Buch,Buch,1,99,99,99,99,99,99,99,99
tw,Twitch,Twitch,1,99,99,99,99,99,99,99,99
bl,Blog,Blog,1,99,99,99,99,99,99,99,99
sy,Synchronisation,Synchronisation,1,99,99,99,99,99,99,99,99
ko,Kooperationen,Kooperationen,1,99,99,99,99,99,99,99,99
fi,Firmen,Firmen,1,99,99,99,99,99,99,99,99
st,Studio 71,Studio 71,2,99,99,99,99,99,99,99,99
di,Divimove We are era,Divimove / We are era,2,99,99,99,99,99,99,99,99
ti,TiQuest,TiQuest,2,99,99,99,99,99,99,99,99
